epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,1413.61,0.89754,0.66144,1.15099,0.97946,0.96842,0.97925,0.77688,0.85887,0.46164,1.19647,0.00120491,0.00120491,0.00120491
58,1438.68,0.90654,0.68082,1.16511,0.98784,0.97322,0.98299,0.76175,0.84193,0.45688,1.16333,0.00119666,0.00119666,0.00119666
59,1465.06,0.90661,0.69989,1.16246,0.98906,0.96842,0.9833,0.78404,0.83093,0.4797,1.15302,0.0011884,0.0011884,0.0011884
60,1489.96,0.89988,0.6801,1.15597,0.97474,0.96349,0.98215,0.77208,0.7812,0.44782,1.13064,0.00118015,0.00118015,0.00118015
61,1513.23,0.89643,0.67216,1.15591,0.97723,0.95789,0.97926,0.76992,0.82032,0.46272,1.14727,0.0011719,0.0011719,0.0011719
62,1536.65,0.86625,0.64244,1.14264,0.95386,0.97257,0.98071,0.7784,0.79294,0.43729,1.11385,0.00116365,0.00116365,0.00116365
63,1562.86,0.87123,0.65735,1.13613,0.97987,0.97058,0.98257,0.77901,0.83855,0.44565,1.17506,0.0011554,0.0011554,0.0011554
64,1586.2,0.86039,0.64301,1.13239,0.973,0.9623,0.96987,0.76686,0.8,0.42907,1.13983,0.00114715,0.00114715,0.00114715
65,1611.74,0.87428,0.65076,1.12816,0.98082,0.95972,0.9798,0.78103,0.81452,0.43533,1.13951,0.00113889,0.00113889,0.00113889
66,1637.8,0.84269,0.62959,1.11539,0.99118,0.96842,0.98312,0.78048,0.81701,0.42695,1.1432,0.00113064,0.00113064,0.00113064
67,1661.5,0.8619,0.61596,1.12519,0.9787,0.97311,0.98403,0.79621,0.78974,0.40866,1.14132,0.00112239,0.00112239,0.00112239
68,1687.41,0.83521,0.59226,1.10224,0.99076,0.96316,0.98741,0.78428,0.83477,0.41318,1.15834,0.00111414,0.00111414,0.00111414
69,1712.82,0.83693,0.58303,1.11395,0.97881,0.96579,0.98364,0.79357,0.77828,0.42491,1.12006,0.00110589,0.00110589,0.00110589
70,1737.51,0.84943,0.61537,1.11396,0.97979,0.9621,0.97616,0.78011,0.76057,0.40523,1.11826,0.00109764,0.00109764,0.00109764
71,1761.05,0.82608,0.59861,1.11101,0.9618,0.96738,0.97499,0.79509,0.80834,0.41395,1.16883,0.00108938,0.00108938,0.00108938
72,1788.97,0.82786,0.59326,1.11505,0.96362,0.95789,0.97995,0.76962,0.80302,0.42109,1.16353,0.00108113,0.00108113,0.00108113
73,1814.39,0.82427,0.57943,1.11384,0.96656,0.96344,0.98322,0.78414,0.75793,0.41469,1.13217,0.00107288,0.00107288,0.00107288
74,1838.12,0.78319,0.55965,1.08242,0.95139,0.93841,0.97761,0.77123,0.78762,0.43438,1.14407,0.00106463,0.00106463,0.00106463
75,1861.7,0.84501,0.59524,1.12265,0.98123,0.97368,0.98384,0.77493,0.8091,0.4209,1.16968,0.00105638,0.00105638,0.00105638
76,1887,0.82012,0.57951,1.0999,0.96332,0.97869,0.98524,0.78457,0.80859,0.39994,1.14962,0.00104813,0.00104813,0.00104813
77,1911.96,0.8221,0.57743,1.10633,0.96645,0.95789,0.98168,0.77642,0.81493,0.41735,1.14672,0.00103987,0.00103987,0.00103987
78,1935.45,0.80064,0.56576,1.09699,0.99258,0.97318,0.97955,0.78152,0.77963,0.43704,1.13349,0.00103162,0.00103162,0.00103162
79,1963.61,0.77319,0.5387,1.07698,0.98531,0.97368,0.9807,0.80793,0.78847,0.40324,1.13817,0.00102337,0.00102337,0.00102337
80,1988.61,0.77244,0.52428,1.07523,0.99008,0.96842,0.98225,0.78039,0.8131,0.41819,1.16135,0.00101512,0.00101512,0.00101512
81,2011.67,0.74899,0.52312,1.05763,0.99529,0.96128,0.98181,0.78583,0.7682,0.3782,1.12751,0.00100687,0.00100687,0.00100687
82,2035.78,0.78685,0.55131,1.08492,0.98672,0.95945,0.97633,0.79381,0.77744,0.39284,1.136,0.000998616,0.000998616,0.000998616
83,2061.62,0.75308,0.52724,1.07057,0.99567,0.95681,0.98099,0.78298,0.81337,0.38589,1.17084,0.000990365,0.000990365,0.000990365
84,2085.01,0.78588,0.53248,1.08183,0.99394,0.9616,0.98375,0.77022,0.80102,0.38967,1.14369,0.000982113,0.000982113,0.000982113
85,2108.75,0.76014,0.52997,1.0715,0.99609,0.96842,0.98341,0.77079,0.77518,0.36499,1.14194,0.000973861,0.000973861,0.000973861
86,2138.28,0.7195,0.50424,1.04642,0.99427,0.96273,0.98266,0.80278,0.77432,0.38166,1.14375,0.00096561,0.00096561,0.00096561
87,2162.32,0.75684,0.52466,1.0732,0.98929,0.9729,0.98182,0.80836,0.76916,0.36163,1.12913,0.000957358,0.000957358,0.000957358
88,2185.76,0.74627,0.51029,1.06772,0.99708,0.96316,0.98413,0.79451,0.73534,0.37901,1.10786,0.000949106,0.000949106,0.000949106
89,2211.01,0.76089,0.53496,1.06853,0.99264,0.96842,0.98285,0.79068,0.75201,0.38169,1.1061,0.000940855,0.000940855,0.000940855
90,2235.94,0.74222,0.53578,1.06426,0.99056,0.96772,0.98431,0.78223,0.79329,0.38891,1.15408,0.000932603,0.000932603,0.000932603
91,2258.97,0.74866,0.51512,1.06071,0.98628,0.97683,0.98688,0.81352,0.76256,0.39229,1.1215,0.000924352,0.000924352,0.000924352
92,2282.05,0.7084,0.47883,1.04472,0.99494,0.97718,0.9832,0.80088,0.76806,0.37287,1.13342,0.0009161,0.0009161,0.0009161
93,2312.58,0.71964,0.49279,1.03862,0.99493,0.96842,0.98848,0.79747,0.78015,0.36357,1.14456,0.000907848,0.000907848,0.000907848
94,2336.32,0.73048,0.50554,1.05445,0.99542,0.96747,0.98895,0.79564,0.76031,0.35296,1.11192,0.000899597,0.000899597,0.000899597
95,2359.64,0.73896,0.51518,1.05374,0.97775,0.98421,0.98434,0.77795,0.78994,0.36812,1.12991,0.000891345,0.000891345,0.000891345
96,2385.17,0.7236,0.49788,1.05053,0.99725,0.96555,0.98913,0.78164,0.79117,0.37355,1.12875,0.000883093,0.000883093,0.000883093
97,2409.01,0.71556,0.47078,1.0421,0.97797,0.98421,0.9854,0.78664,0.7848,0.36384,1.13088,0.000874842,0.000874842,0.000874842
98,2431.93,0.70103,0.48077,1.03173,0.98407,0.97768,0.98749,0.80793,0.72235,0.35929,1.10169,0.00086659,0.00086659,0.00086659
99,2456.97,0.70961,0.48051,1.04956,0.99268,0.98245,0.98317,0.80066,0.74826,0.35114,1.12084,0.000858338,0.000858338,0.000858338
100,2484.47,0.69193,0.48595,1.02834,0.9912,0.98421,0.98784,0.80882,0.76183,0.35064,1.12916,0.000850087,0.000850087,0.000850087
